time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
230.69840277777777,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69870370370367,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69893518518518,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69908564814813,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6993287037037,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6995601851852,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69957175925927,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69979166666667,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69983796296296,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70010416666665,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7003472222222,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70050925925923,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7007407407407,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70083333333332,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70108796296293,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70119212962962,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70125,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7014236111111,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70149305555555,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70159722222223,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70181712962963,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.70208333333332,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7020949074074,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.70219907407406,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
